"ENTREZID","spearman.rho","spearman.FDR","pearson.cor","pearson.FDR"
"100130426",0.0643924615176055,0.26155400975416,0.047168553860123,0.466906580892472
"100133144",-0.0060526192011334,0.931303835740381,-0.0206209663115097,0.777682800956396
"100134869",0.0650919730497101,0.255655999522587,0.00902886293902266,0.909985778232694
"10357",-0.0517032056148614,0.379716482544877,-0.0565890560233414,0.370386440895537
"10431",0.0976758834490889,0.0729965784595761,0.0695422394928127,0.254942749638351
"136542",NA,NA,NA,NA
"155060",0.172002540941698,0.000789880262667011,0.163787863613759,0.0024526059861462
"26823",0.117425716893192,0.0275105623986588,0.124808316623331,0.0255935828450917
"280660",0.000127996862656152,0.998769978589026,-0.0505797080025164,0.430739999760997
"317712",NA,NA,NA,NA
"340602",-0.0640867777938866,0.264036880262437,-0.0620043280006239,0.319276544925646
"388795",-0.0252190218006261,0.694617480703201,-0.00288310660616662,0.971994553610146
"390284",-0.11188134082301,0.0366823012781557,-0.104610466272501,0.0681130363896435
"391343",-0.0550028470029591,0.346209883140376,-0.0596245999362667,0.341368027176334
"391714",0.0225432471625058,0.728279216430556,0.0280183139667692,0.688889041954288
"404770",0.0258614576948891,0.686403599502975,0.0581095512436227,0.355536472559395
"441362",NA,NA,NA,NA
"442388",0.0203300315270449,0.756853790858238,0.00585380658703572,0.943638905068231
"553137",-0.0356280485347225,0.56347142145113,-0.0200114167265205,0.784552675591121
"57714",-0.0701872888123915,0.216240155612622,-0.0683881418662655,0.263935261367781
"645851",0.0493528319248706,0.404402574096351,-0.0219474859535184,0.761531873248112
"652919",-0.037469665550798,0.541113432984788,-0.0115196305773801,0.882970528551944
"653553",0.0875408501450055,0.112863550285458,-0.00728960862778593,0.928048191799957
"728045",NA,NA,NA,NA
"728603",0.0559495908967433,0.337458957053096,0.0461302834548058,0.47836063238246
"728788",-0.0331210618985438,0.594268112383698,0.000651801572517602,0.993158912001164
"729884",-0.118525547005457,0.0258792639411603,-0.0541450227599446,0.394112265487131
"8225",-0.0146329508305245,0.830032032757724,0.00555782935570969,0.946328971453488
"90288",0.0172803684584946,0.796638290260156,-0.00988104432678587,0.901218324796019
"1",0.138175902463897,0.00833591829266703,0.1374557890393,0.0129413657544764
"29974",0.0158245727230888,0.815009484276691,0.149828907183965,0.00621496723475337
"54715",-0.0213562272400202,0.742970141578313,0.0356056147910265,0.599324166856186
"87769",0.256567334250739,2.22995748252752e-07,0.228873879853124,1.13588688002176e-05
"2",-0.135252411007179,0.00995242879072122,-0.0954134800991075,0.101115786142527
"144568",0.0229041665105175,0.723875700326103,-0.0801036328288137,0.179407713114427
"53947",-0.321331712614423,3.80864189655729e-11,-0.247252179464205,1.73488046305962e-06
"51146",0.0341374390653064,0.581360945099708,0.0148966831289344,0.844602555002107
"404744",-0.0188632815499973,0.776425674111861,-0.0213338364282742,0.769252608639144
"8086",0.087666601405969,0.11231025647672,0.0415104450243626,0.531004346077027
"65985",-0.181566172234719,0.000374616482514271,-0.125587246090549,0.0246523570826322
"729522",-0.0744617999959927,0.186578658312524,-0.0587080547695418,0.350015907426826
"13",-0.11835736607979,0.02613078301644,-0.058864046715553,0.348656764731205
"344752",0.0190391871133813,0.773890603568606,-0.0471527823373504,0.467083491150613
"126767",-0.0528688292071489,0.36735425838881,-0.0115888283311348,0.882316093833402
"343066",-0.0476464009181424,0.422478343525748,-0.0245255798882657,0.730617152550507
"51166",-0.115032208690534,0.0311841774975048,-0.153236117376564,0.00498454727026499
"79719",-0.0306871951468577,0.625500404984928,-0.0234897818167607,0.743189270579282
"22848",-0.338952326356073,2.38826991213778e-12,-0.319728819124345,1.51946285614899e-10
"14",0.0314082947609724,0.615892409491249,-0.0127089368463647,0.869295840654224
"15",0.0950702243493339,0.0819402281020825,0.0662305501967826,0.281197740139681
"16",-0.0127273008973581,0.8519877575328,-0.0377641433469242,0.574202044650914
"57505",0.372283914241356,6.76077654756348e-15,0.322474155939838,1.01641286052374e-10
"80755",0.255007676489322,2.68068999630923e-07,0.209123351582723,7.03884601287054e-05
"132949",0.19439325705043,0.000128588886200172,0.195447129286912,0.000228513425111497
"60496",0.0272780514188568,0.668833849434818,0.00651232397424495,0.935702413138113
"10157",0.005027177089833,0.942379949386703,-0.0190309619845541,0.795087992794953
"26574",0.103357232083881,0.0559949352744234,0.0390988882626652,0.55842367964508
"9625",0.0931640499004892,0.0891585642146482,0.00789652388086137,0.921777126887811
"18",-0.146531037095777,0.00487715612476898,-0.143601012639511,0.0090861505550697
"10349",0.0269475383911803,0.673006200615629,-0.0822472510793398,0.167077152728224
"19",-0.0973233066609576,0.0742310766782977,-0.0579607765803716,0.357148581375401
"79963",0.200743352211986,7.31622574895593e-05,0.175984352321993,0.00101418572262696
"26154",0.0238134673530827,0.712698791989341,-0.0726955588169732,0.231128579721614
"154664",-0.105119531302824,0.0514391339250646,-0.0150894137290084,0.841746298284107
"650655",0.135845211221774,0.00959497386694743,0.119116620062059,0.0343796943509211
"20",-0.164310872788427,0.00140820921392967,-0.126994634108977,0.0228851763885617
"21",0.0602287129228858,0.296875126852798,0.0513519575318294,0.422375960668847
"24",-0.111768778798065,0.0368881771408542,-0.0214828744524359,0.767371227404276
"23461",0.138136013623053,0.00835488137781599,0.123675908882505,0.0271991726812093
"23460",-0.320248458291451,4.46570150179465e-11,-0.201381739284784,0.000138385306853571
"10347",-0.106724002180365,0.0475659578811264,-0.0792581673529671,0.184894163817598
"10351",-0.0853620856667619,0.123421518009811,-0.0183741101378614,0.802848998214687
"10350",-0.138557795656709,0.00812713985013926,-0.051620778549317,0.419938602811767
"23456",0.0364958667442283,0.553048141587056,0.0355309057506588,0.600311732210007
"8647",-0.0841888587142888,0.129424053788757,-0.05525527680951,0.382813279324005
"5243",-0.0954956342141359,0.0803983949488207,-0.0726888082273425,0.231150942357564
"5244",-0.0172094995161788,0.797616707394405,-0.00584488407198355,0.943661671436649
"340273",0.395408982804265,8.2806983395173e-17,0.302043096074166,1.99794374402568e-09
"10058",0.112608056926108,0.0353527043776848,0.0190034258694824,0.795416718409076
"22",0.115509751244611,0.0304222759987289,0.104933444856524,0.0671089757373915
"11194",-0.00772530786382017,0.912098315375062,-0.06760370384844,0.269708597954482
"23457",-0.165964677529991,0.00124476957822307,-0.166891330740525,0.00197413679127026
"89845",0.3383645388871,2.65065889345131e-12,0.262025709332724,3.46613299783695e-07
"85320",0.228167105341188,5.16244362553967e-06,0.171396002874571,0.00141948553213461
"94160",0.0524088226667424,0.372077637630836,0.0512363143103003,0.423864301593626
"150000",-0.0163207329477119,0.808531435266103,-0.00981874960823954,0.901831186922859
"4363",-0.130199377446731,0.0134839829079174,-0.128566756800402,0.0210663022299847
"1244",0.309084598991793,2.40026630994341e-10,0.203902210172274,0.000111300193412835
"8714",-0.274426492275058,2.52341970845487e-08,-0.147909889867553,0.006978994194278
"10257",-0.0617975630565547,0.283299671749701,-0.082387301303761,0.166373641597154
"10057",0.16568219258147,0.00127157525080424,0.212340035476751,5.33714291369507e-05
"368",-0.153651948426979,0.00301064476756045,-0.0266139870298314,0.704740639432906
"653190",-0.0706865923370157,0.212666545713207,-0.0257553223026421,0.715644216996448
"730013",-0.133601951485577,0.0110034201982574,-0.0692121583834019,0.257397983408951
"6833",-0.0405123758541099,0.504334063430556,-0.0292158723017326,0.675005342858252
"10060",-0.174278120435566,0.000663299550022664,-0.147553875125285,0.00712175630318987
"215",0.119461951369982,0.0246327046325937,-0.016007109018933,0.831249381259979
"225",-0.165027226104512,0.00133498816555705,-0.120550780387587,0.0319541709683418
"5825",0.126381200411847,0.0167902346949089,0.126599452845863,0.0233803998795925
"5826",0.156456259604239,0.00247182904464152,0.145912153613667,0.00788887536289424
"6059",0.0115579609804306,0.86648174311081,0.0270894306558387,0.700285130418306
"23",0.34793869626028,5.31993573684016e-13,0.234314672721462,6.69396377848819e-06
"10061",-0.0696092386611885,0.220430004543692,-0.107249535994506,0.0604626887132944
"55324",0.0815966286941408,0.14329766558335,-0.00217409350051423,0.978048254370148
"9619",-0.159380652503687,0.00201360573973545,-0.0234284902730499,0.743878012101523
"9429",-0.114187500487695,0.032658486473252,-0.0831004216670283,0.162277171257647
"64137",-0.240589532718325,1.37305593103044e-06,-0.0902326465646903,0.123957182499616
"64240",0.0549692508736137,0.346559507732987,0.101161252385308,0.0794537789542607
"64241",0.0895941602330383,0.103706298397972,0.0971300139087003,0.0942718972743596
"55347",0.0679572321764349,0.232992300988511,0.0614086465426798,0.324562263529173
"83451",0.121416053849935,0.0221612249124386,0.103708863449829,0.0708467724028042
"26090",-0.103676849890171,0.0551543621088506,-0.124611487892377,0.0258695429916254
"145447",0.0649770024014272,0.256598924566971,0.0179331744792587,0.808159619272659
"84945",0.0793793003395904,0.155940650967894,0.0970324866899524,0.0946682934977387
"25864",-0.0450372619803852,0.452344925565278,-0.0569039648323613,0.367441972756045
"84836",0.325927605697682,1.88839592196777e-11,0.217835524254389,3.22824238619415e-05
