CTCF_GSM1056576	AUC = 0.632
CTCF_GSM749680	AUC = 0.631
SMC3_GSM2813843	AUC = 0.631
CTCF_ENCSR549WAU_1	AUC = 0.631
EP300_GSM2550188	AUC = 0.631
ASCL1_GSM1499404	AUC = 0.631
CTCF_GSM1354439	AUC = 0.631
CTCF_GSM1505626	AUC = 0.630
KDM3B_GSM1847179	AUC = 0.630
CTCF_GSM1010774	AUC = 0.630
SMAD3_GSM897117	AUC = 0.630
POLR3D_GSM1160644	AUC = 0.630
CTCF_GSM2572335	AUC = 0.629
SRF_GSM1505776	AUC = 0.629
RNF2_GSM585230	AUC = 0.629
SRF_GSM1505773	AUC = 0.628
CTCFL_GSM1239559	AUC = 0.628
STAG1_GSM1234059	AUC = 0.628
CTCF_GSM1705262	AUC = 0.627
KDM4A_GSM1003479	AUC = 0.627
KDM4A_GSM831035	AUC = 0.627
SIRT1_GSM2474868	AUC = 0.627
SMC1A_GSM2247252	AUC = 0.626
CTCF_GSM1505625	AUC = 0.625
TEAD4_GSM2635693	AUC = 0.625
BMI1_GSM838673	AUC = 0.625
CTCF_GSM1705263	AUC = 0.625
CTCF_GSM1239588	AUC = 0.624
SMAD1_GSM1505746	AUC = 0.624
ASCL1_GSM1499400	AUC = 0.624
CTCF_GSM1240827	AUC = 0.624
CTCF_GSM2572338	AUC = 0.624
CTCF_GSM1007997	AUC = 0.624
SMARCB1_GSM881711	AUC = 0.624
H2AZ_GSM2702721	AUC = 0.624
SUZ12_GSM935352	AUC = 0.624
CTCF_GSM2316307	AUC = 0.624
JMJD6_GSM1922076	AUC = 0.624
CTCF_GSM1022634	AUC = 0.623
MAX_GSM1008618	AUC = 0.623
SMC1A_GSM2493883	AUC = 0.623
CTCF_GSM749711	AUC = 0.623
EZH2_GSM969562	AUC = 0.623
CTCF_GSM782156	AUC = 0.623
CTCF_GSM2026781	AUC = 0.623
SOX2_GSM1139041	AUC = 0.623
CTCF_GSM749736	AUC = 0.623
CTCF_GSM1939276	AUC = 0.622
ZNF654_ENCSR504VDV_1	AUC = 0.622
ZNF654_ENCSR504VDV_2	AUC = 0.622
CTCF_GSM1022661	AUC = 0.621
CTCF_GSM2870996	AUC = 0.621
CBX2_GSM1319305	AUC = 0.620
CTCF_GSM2439226	AUC = 0.620
CTCF_GSM586887	AUC = 0.620
SMC1A_GSM2247255	AUC = 0.620
SMAD3_GSM897116	AUC = 0.619
PHIP_GSM2711406	AUC = 0.619
CTCF_GSM1224657	AUC = 0.619
CTBP2_GSM935463	AUC = 0.619
CTCF_GSM1505624	AUC = 0.618
SMC3_ENCSR481YWD_1	AUC = 0.618
CTCF_GSM646315	AUC = 0.618
CTCF_GSM782158	AUC = 0.617
CTCF_GSM2235691	AUC = 0.617
CHD5_GSM1174714	AUC = 0.616
EP300_GSM2550265	AUC = 0.616
CTCF_GSM646474	AUC = 0.616
CTCF_GSM2038347	AUC = 0.616
SOX2_GSM456570	AUC = 0.616
DROSHA_ENCSR316JQA_2	AUC = 0.615
