EP300_GSM1240110	AUC = 0.623
CEBPB_GSM2804467	AUC = 0.623
STAT3_GSM935551	AUC = 0.623
JUN_GSM1848883	AUC = 0.622
RELA_GSM2103048	AUC = 0.622
MAX_GSM894077	AUC = 0.622
JUN_GSM935467	AUC = 0.621
FOSL1_GSM2635314	AUC = 0.620
BANF1_GSM1645712	AUC = 0.620
ERG_GSM927071	AUC = 0.620
LYL1_GSM1097882	AUC = 0.619
JUN_GSM1848885	AUC = 0.619
FOS_GSM935585	AUC = 0.618
TEAD4_GSM1667162	AUC = 0.618
EP300_GSM2550195	AUC = 0.618
KMT2B_GSM1240109	AUC = 0.618
EP300_GSM1645719	AUC = 0.618
BRD4_GSM1503859	AUC = 0.618
PPARG_GSM2042860	AUC = 0.617
PLRG1_ENCSR019KPC_1	AUC = 0.617
BRD4_GSM1503858	AUC = 0.617
JUN_GSM935278	AUC = 0.617
RELA_GSM2419820	AUC = 0.617
RELA_GSM2419822	AUC = 0.616
HSF1_GSM951898	AUC = 0.616
VDR_GSM934617	AUC = 0.616
YAP1_GSM1614028	AUC = 0.615
SPI1_GSM2804465	AUC = 0.615
RELA_GSM2419831	AUC = 0.615
TP53_GSM2501568	AUC = 0.615
YAP1_GSM1542533	AUC = 0.615
JUN_GSM1503219	AUC = 0.614
SMAD3_GSM1246714	AUC = 0.614
KDM1A_GSM1387030	AUC = 0.614
CEBPA_GSM1501163	AUC = 0.613
EP300_GSM2550244	AUC = 0.613
NKX2-1_GSM2310998	AUC = 0.613
GATA2_GSM935347	AUC = 0.613
MED1_GSM2190581	AUC = 0.613
SMAD3_GSM934616	AUC = 0.612
HNF1A_GSM1982476	AUC = 0.612
NR3C1_GSM1607527	AUC = 0.612
ZBTB16_GSM2947310	AUC = 0.611
FOS_GSM935398	AUC = 0.611
FOS_GSM659789	AUC = 0.611
CHD4_GSM2579160	AUC = 0.611
STAT3_GSM2278010	AUC = 0.611
LYL1_GSM1901545	AUC = 0.610
SMARCA4_GSM1856033	AUC = 0.610
STAT3_GSM2752894	AUC = 0.610
NR3C1_GSM2735382	AUC = 0.609
EP300_GSM1009630	AUC = 0.609
GATA3_GSM1844611	AUC = 0.609
JUNB_ENCSR795IYP_1	AUC = 0.608
PLRG1_ENCSR019KPC_2	AUC = 0.608
VDR_GSM934614	AUC = 0.608
RUNX1T1_GSM1113430	AUC = 0.607
JUN_GSM935341	AUC = 0.607
